Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
21,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1.0234702430846605,1193|166|169|186|156|166|183|167|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,624|84|98|97|82|82|94|87|,569|82|71|89|74|84|89|80|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,65|5|6|10|5|20|11|8|,64|5|4|12|9|12|14|8|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,129,1064,65,318|28|26|29|0|73|99|63|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1511|194|195|215|156|239|282|230|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1511|194|195|215|156|239|282|230|,129|10|10|22|14|32|25|16|,1382|184|185|193|142|207|257|214|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1382|190|201|205|161|193|220|212|,161|20|21|21|17|23|33|26|,1221|170|180|184|144|170|187|186|,20|20|20|20|20|20|20|20|,0.885517221512188|0.8706452315285237|0.872150835054795|0.8810339345589085|0.8849749342537804|0.8830381768036|0.884686016303861|0.8879127971601707|,0.8751047778709137|0.8674698795180723|0.8875739644970414|0.8521505376344086|0.8846153846153846|0.8644578313253012|0.8797814207650273|0.8922155688622755|,0.09052808046940486,0.08591785414920369,0.17057837384744343,0.1303436714165968,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1193|166|169|186|156|166|183|167|,170|180|184|144|170|187|186|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,13|22|20|17|14|11|25|,0|0|0|0|0|0|0|,0,0,0,0,0,0
22,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0.9696969696969697,1221|170|180|184|144|170|187|186|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,638|87|101|101|81|84|92|92|,583|83|79|83|63|86|95|94|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,505|72|86|80|70|56|72|69|,460|71|59|72|57|65|69|67|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,965,256,505,2061|303|436|381|265|186|269|221|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,3282|473|616|565|409|356|456|407|,1182|173|316|265|109|56|156|107|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2099|300|298|301|300|300|300|300|,629|92|71|75|95|106|88|102|,1470|208|227|226|205|194|212|198|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1470|224|198|234|200|210|207|197|,286|53|44|32|38|41|34|44|,1184|171|154|202|162|169|173|153|,20|20|20|20|20|20|20|20|,0.8882308710318538|0.8756574394463668|0.876087962962963|0.8855372755198487|0.8860797646604939|0.8833996539792387|0.8882295747662214|0.8924153081281073|,0.8877968877968878|0.8764705882352941|0.8888888888888888|0.8722826086956522|0.9131944444444444|0.8823529411764706|0.8957219251336899|0.8897849462365591|,0.08968058968058969,0.085995085995086,0.16584766584766586,0.11834561834561834,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1221|170|180|184|144|170|187|186|,171|154|202|162|169|173|153|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,84|66|90|62|70|77|58|,0|0|0|0|0|0|0|,0,0,0,0,0,0
23,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0.9552364864864865,1184|171|154|202|162|169|173|153|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,626|95|74|104|91|90|87|85|,558|76|80|98|71|79|86|68|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,84|10|4|12|8|18|14|18|,78|4|10|7|5|16|17|19|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,162,1022,84,255|20|12|52|34|49|27|61|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1439|191|166|254|196|218|200|214|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1439|191|166|254|196|218|200|214|,162|14|14|19|13|34|31|37|,1277|177|152|235|183|184|169|177|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1277|182|159|230|175|194|179|158|,146|14|17|23|22|24|30|16|,1131|168|142|207|153|170|149|142|,20|20|20|20|20|20|20|20|,0.8830313170539628|0.8731404534728635|0.8668620340698263|0.8822051759631409|0.8858500990702637|0.8742516018346697|0.8823465535099736|0.8872976205732838|,0.8910472972972973|0.8918128654970761|0.8928571428571429|0.8910891089108911|0.9074074074074074|0.8668639053254438|0.9017341040462428|0.8856209150326797|,0.09037162162162163,0.08614864864864864,0.17483108108108109,0.13386824324324326,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1184|171|154|202|162|169|173|153|,168|142|207|153|170|149|142|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,11|11|21|7|27|16|10|,0|0|0|0|0|0|0|,0,0,0,0,0,0
24,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1.0716180371352786,1131|168|142|207|153|170|149|142|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,595|90|70|100|84|91|76|84|,536|78|72|107|69|79|73|58|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,491|81|64|81|72|69|62|62|,435|68|63|84|58|56|61|45|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,926,205,491,2103|363|291|380|319|244|233|273|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,3234|531|433|587|472|414|382|415|,1134|231|133|287|172|114|82|115|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2101|300|300|301|300|300|300|300|,603|83|87|83|83|94|97|76|,1498|217|213|218|217|206|203|224|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1498|232|205|189|204|210|220|238|,286|36|39|42|36|41|37|55|,1212|196|166|147|168|169|183|183|,20|20|20|20|20|20|20|20|,0.8846878930799172|0.8741230867346939|0.8722847649275938|0.8873310929076524|0.8863791704045453|0.877681660899654|0.8801968379802712|0.8865428486411426|,0.8779840848806366|0.8928571428571429|0.8732394366197183|0.8792270531400966|0.8888888888888888|0.85|0.8825503355704698|0.8802816901408451|,0.09239610963748895,0.08974358974358974,0.16976127320954906,0.12953138815207782,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1131|168|142|207|153|170|149|142|,196|166|147|168|169|183|183|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,95|71|52|68|70|85|87|,0|0|0|0|0|0|0|,0,0,0,0,0,1
25,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0.9331683168316832,1212|196|166|147|168|169|183|183|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,568|100|81|63|84|75|74|91|,644|96|85|84|84|94|109|92|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,57|3|4|7|7|13|9|14|,62|7|8|12|7|12|9|7|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,119,1093,57,173|8|18|35|12|27|34|39|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1385|204|184|182|180|196|217|222|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1385|204|184|182|180|196|217|222|,119|10|12|19|14|25|18|21|,1266|194|172|163|166|171|199|201|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1266|200|175|155|176|169|198|193|,135|18|19|24|13|22|28|11|,1131|182|156|131|163|147|170|182|,20|20|20|20|20|20|20|20|,0.8800025732771297|0.869819866722199|0.8694748875018146|0.8727382109306308|0.8861607142857143|0.8750744021567872|0.8793036519454149|0.8772805995998686|,0.8716996699669967|0.8622448979591837|0.8885542168674698|0.8503401360544217|0.8720238095238095|0.8964497041420119|0.8497267759562842|0.8825136612021858|,0.08745874587458746,0.07755775577557755,0.19513201320132012,0.15181518151815182,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1212|196|166|147|168|169|183|183|,182|156|131|163|147|170|182|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,11|12|9|16|6|8|13|,0|0|0|0|0|0|0|,0,0,0,0,0,0
26,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0.9266136162687887,1131|182|156|131|163|147|170|182|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,534|96|83|58|80|65|69|83|,597|86|73|73|83|82|101|99|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,462|88|73|44|71|59|55|72|,531|81|65|65|72|74|91|83|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,993,138,462,1616|337|223|184|249|201|208|214|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,2747|519|379|315|412|348|378|396|,647|219|79|15|112|48|78|96|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2099|300|300|300|300|300|300|299|,765|99|107|102|109|116|116|116|,1334|201|193|198|191|184|184|183|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1334|181|174|209|201|188|190|191|,286|46|48|45|33|40|45|29|,1048|135|126|164|168|148|145|162|,20|20|20|20|20|20|20|20|,0.8806295689127484|0.8682148895060983|0.8705621301775148|0.8747887652234718|0.8864089728631112|0.8730968577907353|0.8794636678200691|0.8797095761381476|,0.8651635720601237|0.8681318681318682|0.907051282051282|0.8320610687022901|0.8558282208588958|0.8673469387755102|0.8411764705882353|0.8791208791208791|,0.09018567639257294,0.07471264367816093,0.1896551724137931,0.14942528735632185,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1131|182|156|131|163|147|170|182|,135|126|164|168|148|145|162|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,68|56|79|63|66|64|73|,0|0|0|0|0|0|0|,0,0,0,0,0,0
27,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0.9265267175572519,1048|135|126|164|168|148|145|162|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,514|64|59|83|81|72|76|79|,534|71|67|81|87|76|69|83|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,52|5|7|11|5|4|9|11|,49|1|5|5|8|7|9|14|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,101,947,52,145|35|7|23|8|8|33|31|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1193|170|133|187|176|156|178|193|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1193|170|133|187|176|156|178|193|,101|6|12|16|13|11|18|25|,1092|164|121|171|163|145|160|168|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1092|152|125|172|168|154|159|162|,121|19|13|18|12|25|21|13|,971|133|112|154|156|129|138|149|,20|20|20|20|20|20|20|20|,0.8801495305489191|0.8758299039780522|0.8717403628117915|0.8705476650803093|0.8816787131519275|0.8663600255661066|0.877717003567182|0.8870217954580094|,0.8716603053435115|0.8888888888888888|0.873015873015873|0.9024390243902439|0.8660714285714286|0.8378378378378378|0.8517241379310345|0.8796296296296297|,0.0916030534351145,0.07061068702290077,0.18129770992366412,0.14694656488549618,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1048|135|126|164|168|148|145|162|,133|112|154|156|129|138|149|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,8|4|10|5|10|15|13|,0|0|0|0|0|0|0|,0,0,0,0,0,0
28,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1.1122554067971164,971|133|112|154|156|129|138|149|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,463|64|50|74|75|58|72|70|,508|69|62|80|81|71|66|79|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,408|53|47|65|70|52|60|61|,445|62|57|70|76|63|52|65|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,853,118,408,1395|204|125|245|208|176|204|233|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,2366|337|237|399|364|305|342|382|,329|37|0|99|64|5|42|82|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2037|300|237|300|300|300|300|300|,731|99|104|102|122|113|97|94|,1306|201|133|198|178|187|203|206|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1306|191|169|202|187|183|205|169|,226|30|34|37|32|29|36|28|,1080|161|135|165|155|154|169|141|,20|20|20|20|20|20|20|20|,0.8801823425158642|0.8776782181016451|0.8719905931122449|0.872491145218418|0.8797255095332018|0.8677813833303287|0.8757351396765385|0.8839804513310212|,0.880020597322348|0.8947368421052632|0.8616071428571429|0.8961038961038961|0.8846153846153846|0.8604651162790697|0.8623188405797102|0.8926174496644296|,0.09011328527291453,0.0674562306900103,0.1889804325437693,0.14160659114315138,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,971|133|112|154|156|129|138|149|,161|135|165|155|154|169|141|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,64|70|71|70|70|78|49|,0|0|0|0|0|0|0|,0,0,0,0,0,0
29,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1.0018518518518518,1080|161|135|165|155|154|169|141|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,552|87|69|76|77|81|88|74|,528|74|66|89|78|73|81|67|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,45|9|3|7|4|4|9|9|,55|7|5|6|5|8|11|13|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,100,980,45,258|84|3|21|16|44|40|50|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1338|245|138|186|171|198|209|191|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1338|245|138|186|171|198|209|191|,100|16|8|13|9|12|20|22|,1238|229|130|173|162|186|189|169|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1238|214|138|180|168|186|188|164|,156|29|14|18|26|26|24|19|,1082|185|124|162|142|160|164|145|,20|20|20|20|20|20|20|20|,0.8762339248971194|0.8734906060722967|0.87|0.8668870523415978|0.8728616024973985|0.8659660145049756|0.8774027520044816|0.879746994617977|,0.8861111111111111|0.8819875776397516|0.9222222222222223|0.8939393939393939|0.8870967741935484|0.8701298701298701|0.8698224852071006|0.8829787234042553|,0.0837962962962963,0.05740740740740741,0.2074074074074074,0.1300925925925926,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080|161|135|165|155|154|169|141|,185|124|162|142|160|164|145|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,17|9|12|9|13|16|18|,0|0|0|0|0|0|0|,0,0,0,0,0,0
30,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1.1016635859519408,1082|185|124|162|142|160|164|145|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,549|98|64|73|72|80|91|71|,533|87|60|89|70|80|73|74|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,448|69|58|64|62|64|75|56|,433|61|57|78|63|61|60|53|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,881,201,448,1824|253|268|267|248|269|315|204|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,2906|438|392|429|390|429|479|349|,806|138|92|129|90|129|179|49|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100|300|301|300|300|300|299|300|,620|86|83|87|97|86|85|96|,1480|214|218|213|203|214|214|204|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1480|223|201|230|210|213|195|208|,288|47|34|52|51|45|24|35|,1192|176|167|178|159|168|171|173|,20|20|20|20|20|20|20|20|,0.8759156726948453|0.8651935719503286|0.8699109001040582|0.867245846669715|0.872768299940488|0.868447265625|0.8760596371207614|0.8792627824019025|,0.8678373382624769|0.827027027027027|0.9153225806451613|0.8950617283950617|0.8697183098591549|0.85|0.8567073170731707|0.8793103448275862|,0.08086876155268022,0.05730129390018484,0.23290203327171904,0.11321626617375231,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1082|185|124|162|142|160|164|145|,176|167|178|159|168|171|173|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,76|75|77|84|68|64|79|,0|0|0|0|0|0|0|,0,0,0,0,0,0
31,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0.9765100671140939,1192|176|167|178|159|168|171|173|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,595|91|82|92|84|73|90|83|,597|85|85|86|75|95|81|90|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,62|16|4|7|6|8|12|9|,72|20|2|7|5|12|9|17|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,134,1058,62,289|84|12|64|26|25|50|28|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1481|260|179|242|185|193|221|201|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1481|260|179|242|185|193|221|201|,134|36|6|14|11|20|21|26|,1347|224|173|228|174|173|200|175|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1347|198|185|226|183|186|191|178|,183|26|27|26|30|27|25|22|,1164|172|158|200|153|159|166|156|,20|20|20|20|20|20|20|20|,0.8791115828115851|0.8765576575413223|0.8806339416974434|0.865247443504608|0.8708911831019343|0.8719972363945578|0.8820235286070928|0.8752464165190952|,0.8691275167785235|0.8664772727272727|0.8502994011976048|0.8651685393258427|0.8867924528301887|0.8571428571428571|0.8771929824561403|0.8815028901734104|,0.09689597315436242,0.06208053691275168,0.2118288590604027,0.10947986577181208,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1192|176|167|178|159|168|171|173|,172|158|200|153|159|166|156|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,16|16|22|12|16|18|18|,0|0|0|0|0|0|0|,0,0,0,0,0,0
